Sno,Customer_code,date,doneorno,Name,Type,Supply_Price,status,Acquired_by,Location,Contact_Person,Contact_number,Adress,Pincode,Geo tag
267,,19-Apr,,Rex hot and cool,cool bar,15,live,sathish,royapettah,,,,,
268,,6-Jul,,Sriram Wate r Supply,water  supply,15,live,sathish,Annanagar east,,,,,
269,,6-Jul,,Djai Shopping zone,,15,live,sathish,Shenoy nagar,,,,,
270,,6-Jul,,Master Oru Tea,Tea shop,15,live,sathish,Perambur,,,,,
271,,6-Jul,,KK Hot chips,Chips,15,live,sathish,Ayanavaram,,,,,
272,,6-Jul,,Rasi tea shop,Tea shop,15,live,Danraj,Mylapore,,,,,
273,,6-Jul,,JAS Bakery,bakery,15,live,sathish,Ayanavaram,,,,,
274,,17-July,,Sri Lakshmi Bakery,Bakery,15,live,Sathish,Arumbakkam,,,,,
275,,17-July,,SRA Agencies,Agency,15,live,Afsal,Arumbakkam,,,,,
276,,17-July,,SAravana  Fancy Store,Fancy store,15,live,Sathish,Arumbakkam,,,,,
277,,17-July,,Samaavar Cafe,coffee shop,15,live,Afsal,Annanagar,,,,,
278,,17-July,,Chandra Provision store,Provision Store,15,live,Sathish,Arumbakkam,,,,,
279,,17-July,,New sastha Tea stall,Tea stall,15,live,Afsal,Annanagar,,,,,
280,,17-July,,Om Murugan Store,Provision Store,15,live,Sathish,Shenoy Nagar,,,,,
281,,17-July,,Ganesh Store,Mobile shop,15,Live,Afsal,Shenoy Nagar,,,,,
282,,17-July,,Arun snacks,Snacks  bar,15,Live,Afsal,Annanagar,,,,,
283,,21-July,,Relax corner,TEa shop,15,Live,Afsal,Arumbakkam,,,,,
284,,21-July,,Woodlands enterprises,,15,Live,Danraj,Mylapore,,,,,
285,,21-July,,Taste me,Tea shop,15,Live,Afsal,Arumbakkam,,,,,
286,,21-July,,Rasika sweets And bakery,Bakery,15,Live,Sathish,Ayanavaram,,,,,
287,,21-July,,KRJ news Mart,News mart,15,Live,Danraj,Valluvar Kottam,,,,,
288,,21-July,,Kumaran Cool Bar,cool Bar,15,live,Sathish,Arumbakkam,,,,,
289,,21-July,,Sri Lakshmi Bakery,Bakery,15,live,Sathish,MMDA colony,,,,,
290,,29-July,,Bake Point,bakery,15,live,Sathish,Shenoy Nagar,,,,,
291,,30-July,,DInesh Snacks,Tea shop,15,live,Sathish,Shenoy Nagar,,,,,
292,,30-July,,Megha Hotel(Sample),Hotel,15,live,Sathish,Aminjikarai,,,,,
293,,30-July,,Falcon Cafe,Tea shop,15,live,Sathish,Maduravoyal,,,,,
294,,30-July,,Royal Tea stall,Tea Shop,15,live,Sathish,Maduravoyal,,,,,
295,,30-July,,Orange Juice Corner,JUice shop,15,live,Sathish,Koyambedu,,,,,
296,,30-July,,Biriyani Vilas,Biriyani shop,15,live,Sathish,Koyambedu,,,,,
297,,30-July,,SBS Riyadhi Biriyaani,Biriyani shop,15,live,Sathish,Arumbakkam,,,,,
298,,30-July,,Akshaya cool,Cool bar,15,live,Sathish,Koyambedu,,,,,
299,,30-July,,SAR Tea Corner,Tea Shop,15,live,Sathish,Koyambedu,,,,,
300,,30-July,,Chill and Thrill,Tea Shop,15,live,Afsal,Arumbakkam,,,,,
301,,2nd August,,Royal Tea stall,Tea Shop,15,live,Sathish,Maduravoyal,,,,,
302,,2nd August,,Selvam Sweets and Snacks,Bakery,15,live,Sathish,Maduravoyal,,,,,
303,,2nd August,,Welcome TEa stall,Tea shop,15,live,Sathish,Maduravoyal,,,,,
304,,2nd August,,BHarathi sweets And Bakery,Tea shop,15,live,Sathish,Maduravoyal,,,,,
